data_source	time_stamp
https://rest.isric.org/soilgrids/v2.0/properties/query	2024-10-10T09:36:56+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_0-5cm_M_250m.tif	2024-10-10T09:36:57+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_5-15cm_M_250m.tif	2024-10-10T09:37:01+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_15-30cm_M_250m.tif	2024-10-10T09:37:04+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_30-60cm_M_250m.tif	2024-10-10T09:37:08+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_60-100cm_M_250m.tif	2024-10-10T09:37:11+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_100-200cm_M_250m.tif	2024-10-10T09:37:14+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_0-5cm_M_250m.tif	2024-10-10T09:37:17+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_5-15cm_M_250m.tif	2024-10-10T09:37:20+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_15-30cm_M_250m.tif	2024-10-10T09:37:23+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_30-60cm_M_250m.tif	2024-10-10T09:37:26+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_60-100cm_M_250m.tif	2024-10-10T09:37:29+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_100-200cm_M_250m.tif	2024-10-10T09:37:32+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCsat_0-5cm_M_250m.tif	2024-10-10T09:37:34+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCsat_5-15cm_M_250m.tif	2024-10-10T09:37:36+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCsat_15-30cm_M_250m.tif	2024-10-10T09:37:38+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCsat_30-60cm_M_250m.tif	2024-10-10T09:37:41+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCsat_60-100cm_M_250m.tif	2024-10-10T09:37:45+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/WCsat_100-200cm_M_250m.tif	2024-10-10T09:37:47+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/Ksat_0-5cm_M_250m.tif	2024-10-10T09:37:49+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/Ksat_5-15cm_M_250m.tif	2024-10-10T09:37:52+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/Ksat_15-30cm_M_250m.tif	2024-10-10T09:37:57+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/Ksat_30-60cm_M_250m.tif	2024-10-10T09:38:03+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/Ksat_60-100cm_M_250m.tif	2024-10-10T09:38:06+00:00
http://opendap.biodt.eu/grasslands-pdt/soilMapsHiHydroSoil/Ksat_100-200cm_M_250m.tif	2024-10-10T09:38:11+00:00
