Silt	Clay	Sand
0.5734	0.2769	0.1495

Layer	FC[V%]	PWP[V%]	POR[V%]	KS[mm/d]
1.0000	42.8500	15.6150	48.6900	139.9815
2.0000	39.3250	14.9050	45.0500	154.7775
3.0000	38.3400	15.2400	43.3800	149.1050
4.0000	40.2100	15.4600	43.4100	50.2330
5.0000	40.2100	15.4600	43.4100	50.2330
6.0000	40.2100	15.4600	43.4100	50.2330
7.0000	39.4700	15.9000	42.3200	49.8670
8.0000	39.4700	15.9000	42.3200	49.8670
9.0000	39.4700	15.9000	42.3200	49.8670
10.0000	39.4700	15.9000	42.3200	49.8670
11.0000	38.5500	15.9700	41.1900	53.0050
12.0000	38.5500	15.9700	41.1900	53.0050
13.0000	38.5500	15.9700	41.1900	53.0050
14.0000	38.5500	15.9700	41.1900	53.0050
15.0000	38.5500	15.9700	41.1900	53.0050
16.0000	38.5500	15.9700	41.1900	53.0050
17.0000	38.5500	15.9700	41.1900	53.0050
18.0000	38.5500	15.9700	41.1900	53.0050
19.0000	38.5500	15.9700	41.1900	53.0050
20.0000	38.5500	15.9700	41.1900	53.0050
