Silt	Clay	Sand
0.5783	0.2715	0.1503

Layer	FC[V%]	PWP[V%]	POR[V%]	KS[mm/d]
1.0000	42.5050	15.2300	48.6750	151.2575
2.0000	39.1450	14.8450	44.8950	168.4235
3.0000	38.2300	15.3600	43.0900	163.0800
4.0000	40.2700	15.1600	43.6900	54.5490
5.0000	40.2700	15.1600	43.6900	54.5490
6.0000	40.2700	15.1600	43.6900	54.5490
7.0000	39.9100	15.8000	42.8800	56.6000
8.0000	39.9100	15.8000	42.8800	56.6000
9.0000	39.9100	15.8000	42.8800	56.6000
10.0000	39.9100	15.8000	42.8800	56.6000
11.0000	38.7200	15.8400	41.4700	57.4320
12.0000	38.7200	15.8400	41.4700	57.4320
13.0000	38.7200	15.8400	41.4700	57.4320
14.0000	38.7200	15.8400	41.4700	57.4320
15.0000	38.7200	15.8400	41.4700	57.4320
16.0000	38.7200	15.8400	41.4700	57.4320
17.0000	38.7200	15.8400	41.4700	57.4320
18.0000	38.7200	15.8400	41.4700	57.4320
19.0000	38.7200	15.8400	41.4700	57.4320
20.0000	38.7200	15.8400	41.4700	57.4320
